offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0x3F4,0x407,19,ascii,READERRCNT:%d(SET1),si,,
0x40C,0x41C,16,ascii,LOAD ATTR:%04x,,,
0x41C,0x428,12,ascii,ERROR4!!,si,,
0x428,0x434,12,ascii,ERROR5!!,si,,
0x434,0x440,12,ascii,ERROR6!!,si,,
0x440,0x449,9,ascii,BGM:%08lx,,,
0x44C,0x454,8,ascii,SE:%08lx,,,
0x458,0x461,9,ascii,SE0:%08lx,,,
0x464,0x478,20,ascii,READERRCNT:%d(SET:2),si,,
0x47C,0x488,12,ascii,DISP1:%0x,,,
0x488,0x495,13,ascii,SAVEBGM:%08lx,si,,
0x498,0x4A4,12,ascii,SAVESE:%08lx,si,,
0x4A8,0x4B5,13,ascii,SAVESE0:%08lx,si,,
0x4C4,0x4D0,12,ascii,DISP2:%0x,,,
0x4D0,0x4D6,6,ascii, EXIST,si,,
0x4D8,0x4E1,9,ascii,SAVING...,,,
0x4E4,0x4EB,7,ascii,ERROR!!,si,,
0x4F0,0x4F7,7,ascii,DONE...,,,
0x4FC,0x504,8,ascii,ERROR!,si,,
0x504,0x50E,10,ascii,LOADING...,si,,
0x54C,0x55C,16,ascii,game1/game00.sz,si,,
0x55C,0x570,20,ascii,0123456789abcdef,si,,
0x574,0x588,20,ascii,cannot open file %s,,,
0x58C,0x5A4,24,ascii,cannot get filesize %s,,,
0x5A8,0x5BC,20,ascii,cannot read file %s,,,
0x5BD,0x5C4,7,ascii,HEAD:,,,
0x5C4,0x5CC,8,ascii,%02x:,,,
0x5CD,0x5D4,7,ascii,TAIL:,,,
0x5D8,0x5EC,20,ascii,cannot check crc %s,,,
0x600,0x618,24,ascii,"CRC CHECK ERROR!, RETRY!",si,,
0x638,0x640,8,ascii,load.c,,,
0x654,0x683,47,ascii,WARNING!!! Variable Work Area has been damaged.,,si,
0x688,0x696,14,ascii,WORKBITS OVER!,,si,
0x698,0x6A0,8,ascii,itp.c,,,
0x6A0,0x6BC,28,ascii,"sorry, call stack overflow",,,
0x6BC,0x6C8,12,ascii,rootlevel %d,,,
0x6CC,0x6F0,36,ascii,"sorry, OBJ/RCP/SUB nesting too deep",,,
0x6F8,0x708,16,ascii,cannot return,,,
0x77C,0x788,12,ascii,empty SEQ,,,
0x794,0x7B4,32,ascii,"sorry, receptor level too deep",,,
0x7B4,0x7C0,12,ascii,itpobj.c,,,
0x87C,0x89C,32,ascii,"sorry, too many pre-SUB blocks",,,
0x89C,0x8BC,32,ascii,"sorry, too many post-SUB blocks",,,
0x8BC,0x8C8,12,ascii,itprcps.c,,,
0x8C8,0x8E4,28,ascii,"sorry, OBJ/RCP use too deep",,,
0x8E4,0x904,32,ascii,"sorry, RCP use level too deep",,,
0x904,0x924,32,ascii,"sorry, too many receptors",,,
0x9FC,0xA18,28,ascii,"sorry, M: chain too long",,,
0xA18,0xA28,16,ascii,itpexpr.c,,,
0xB28,0xB34,12,ascii,itpefunc.c,si,,
0xB34,0xB60,44,ascii,return value of external function too big,,si,
0xBBC,0xBCC,16,ascii,itpstmts.c,si,,
0xCCC,0xCDC,16,ascii,cannot retract,,,
0xCDC,0xCE3,7,ascii,EF:stop,,,
0xCE8,0xCEF,7,ascii,EF:bgm1,,,
0xCF4,0xCFB,7,ascii,EF:bgm2,,,
0xD00,0xD0A,10,ascii,EF:action1,si,,
0xD0C,0xD16,10,ascii,EF:action2,si,,
0xD18,0xD22,10,ascii,EF:action3,si,,
0xD24,0xD2E,10,ascii,EF:action4,si,,
0xD30,0xD3A,10,ascii,EF:action5,si,,
0xD3C,0xD46,10,ascii,EF:waction,si,,
0xD48,0xD53,11,ascii,EF:waction2,si,,
0xD58,0xD60,8,ascii,EF:scene,,,
0xD64,0xD6C,8,ascii,EF:wtime,,,
0xD70,0xD7A,10,ascii,EF:effect1,si,,
0xD7C,0xD86,10,ascii,EF:effect2,si,,
0xD88,0xD93,11,ascii,EF:setparam,si,,
0xD98,0xDA4,12,ascii,EF:setparamb,si,,
0xDA8,0xDB4,12,ascii,EF:setparamk,si,,
0xE30,0xE39,9,ascii,EF:setenv,,,
0xEF8,0xF01,9,ascii,EF:getenv,,,
0xF4C,0xF5A,14,ascii,SAVEMENURET:%d,si,,
0xFE4,0xFF0,12,ascii,EF:windowon1,si,,
0xFF4,0x1000,12,ascii,EF:windowon2,si,,
0x1014,0x1021,13,ascii,EF:windowoff1,si,,
0x1024,0x1031,13,ascii,EF:windowoff2,si,,
0x1080,0x108A,10,ascii,EF:prepare,si,,
0x108C,0x1093,7,ascii,EF:play,,,
0x1144,0x114A,6,ascii,PAC:%x,,,
0x1260,0x1268,8,ascii,stop,,,
0x1268,0x1270,8,ascii,pause,,,
0x129C,0x12A4,8,ascii,???,,,
0x13D8,0x13E3,11,ascii,ITP:VL%08lx,si,,
0x13E8,0x13F7,15,ascii,ITP:VL%08lx:end,si,,
0x1404,0x140C,8,ascii,(%d),,,
0x1454,0x145B,7,ascii,ITP:VP1,,,
0x1460,0x146B,11,ascii,ITP:VP1:end,si,,
0x1538,0x1542,10,ascii,EFCT:%08lx,si,,
0x17F8,0x180C,20,ascii,SET-CURCARDINF:%08lx,si,,
0x1814,0x1825,17,ascii,OLD CARDINF:%08lx,,,
0x1828,0x1836,14,ascii,OLD CARD NO:%d,,si,
0x1838,0x184F,23,ascii,OLD CARD CHECK ST:%08lx,si,,
0x1854,0x1868,20,ascii,CARD CHECK NEED NOT.,si,si,
0x1884,0x189A,22,ascii,CARD:%d CHECK ST:%08lx,si,,
0x189C,0x18A7,11,ascii, --- NORMAL,,,
0x18AC,0x18BA,14,ascii, --- NOT EXIST,si,si,
0x18BC,0x18C9,13,ascii, --- UNFORMAT,,,
0x18CC,0x18D6,10,ascii, --- ERROR,si,,
0x18FC,0x190E,18,ascii,THERE ARE NO CARDS,,si,NO HAY MEM CARDS
0x1910,0x1921,17,ascii,THERE ARE 2 CARDS,,si,HAY 2 MEM CARDS
0x1924,0x192C,8,ascii,REPLY:%d,,,
0x1930,0x1941,17,ascii,ONLY CARD-1 FOUND,si,si,SOLO MEM CARD 1
0x1944,0x1955,17,ascii,ONLY CARD-2 FOUND,si,si,SOLO MEM CARD 2
0x1958,0x1975,29,ascii,"CARD FOUND BUT ERROR, NO CARD",si,si,MEM ENCONTRADA PERO ERROR
0x19BC,0x19C7,11,ascii,FILE:%d(%s),si,,
0x19CC,0x19D1,5,ascii,%d:%d,,,
0x19D4,0x19E4,16,ascii,BISLPS-00215,si,,
0x19E4,0x19F0,12,ascii,USER-FILE:%d,si,,
0x19F4,0x19FC,8,ascii,BS:%08lx,,,
0x1A00,0x1A08,8,ascii,H:%d,,,
0x1A08,0x1A10,8,ascii,M:%d,,,
0x1A10,0x1A18,8,ascii,L:%d,,,
0x1A18,0x1A26,14,ascii,SYSTEM-FILE:%d,si,,
0x1A28,0x1A34,12,ascii,V:(%s)%d,,,
0x1A34,0x1A45,17,ascii,oldAUTOSAVELOC:%d,si,,
0x1A48,0x1A56,14,ascii,AUTOSAVELOC:%d,si,,
0x1A58,0x1A64,12,ascii,NEWINF:%08lx,si,,
0x1AA0,0x1AB4,20,ascii,SAVECNT:%d(%d+%d-%d),si,,
0x1AB8,0x1AC8,16,ascii,%s%c%c%05d%c,si,,
0x1AC8,0x1ADC,20,ascii,%s%c%c%03d%02d%c,si,,
0x1AE8,0x1AF8,16,ascii,AUTOSAVE WAIT,si,,GUARDANDO
0x1AF8,0x1B0A,18,ascii,CURDISC:%d(LOC:%d),si,,
0x1B0C,0x1B16,10,ascii,SAVELOC:%d,si,,
0x1B3C,0x1B4B,15,ascii,AUTOSAVE:%d(%d),si,,
0x1B68,0x1B74,12,ascii,"FOUND,ERASE",si,,
0x1B74,0x1B80,12,ascii,"SVER,delete",si,,
0x1B80,0x1B98,24,ascii,SAVE:%s(CD:%d CHKCD:%d),,,
0x1BBC,0x1BCD,17,ascii,"FOUND,LOAD(CD:%d)",si,,
0x1BD0,0x1BF0,32,ascii,"FOUND,LOAD(H:%d M:%d L:%d CD:%d)",si,,
0x1C08,0x1C20,24,ascii,LOAD-OK:FIRST BLOCK USE,si,si,
0x1C20,0x1C3B,27,ascii,FIRST BLOCK is Broken.(CRC),si,si,
0x1C40,0x1C5B,27,ascii,FIRST BLOCK is Broken.(H&T),si,si,
0x1C60,0x1C7C,28,ascii,LOAD-OK:SECOND BLOCK USE,,si,
0x1C7C,0x1C98,28,ascii,SECOND BLOCK is Broken.(H&T),,si,
0x1C9C,0x1CAD,17,ascii,LOADAUTOSAELOC:%d,si,,
0x1F5B,0x1F5F,4,ascii,42e,si,,
0x2013,0x2018,5,ascii,4! ,,,
0x2334,0x2337,3,ascii,!  ,,,
0x25E3,0x25E7,4,ascii,42e,si,,
0x29A3,0x29A7,4,ascii,'! ,,,
0x2FA4,0x2FA7,3,ascii,!( ,,,
0x2FE4,0x2FE7,3,ascii,!( ,,,
0x3137,0x313B,4,ascii,42e,si,,
0x313C,0x313F,3,ascii,!( ,,,
0x3190,0x3193,3,ascii,!( ,,,
0x324C,0x324F,3,ascii,!( ,,,
0x3290,0x3293,3,ascii,!( ,,,
0x348C,0x348F,3,ascii,!  ,,,
0x3637,0x363B,4,ascii,42e,si,,
0x3746,0x3749,3,ascii,d(!,,,
0x37C7,0x37CB,4,ascii,4}f,,,
0x389E,0x38A1,3,ascii,B8i,,,
0x3BF2,0x3BF6,4,ascii,""".+",,,
0x3DD4,0x3DD7,3,ascii,!  ,,,
0x4128,0x412B,3,ascii,!  ,,,
0x45FA,0x45FD,3,ascii,B4!,,,
0x475F,0x4763,4,ascii,&!( ,,,
0x4B5C,0x4B5F,3,ascii,!0 ,,,
0x4C4F,0x4C53,4,ascii,42e,si,,
0x50AC,0x50AF,3,ascii,!( ,,,
0x510E,0x5111,3,ascii,"""&!",,,
0x51C9,0x51CE,5,ascii, B4! ,,,
0x549C,0x549F,3,ascii,!0 ,,,
0x55D2,0x55D5,3,ascii,B0%,,,
0x57BC,0x57C0,4,ascii,!8E,,,
0x5E17,0x5E1C,5,ascii,'! ,,,
0x655C,0x655F,3,ascii,!  ,,,
0x65D4,0x65D7,3,ascii,!  ,,,
0x6686,0x6689,3,ascii,"""24",,,
0x66C8,0x66CB,3,ascii,!  ,,,
0x66E2,0x66E6,4,ascii,"b, ",,,
0x6A00,0x6A04,4,ascii,% D,si,,
0x7A50,0x7A54,4,ascii,!(V,,,
0x7BFC,0x7C00,4,ascii,!0C,,,
0x80F4,0x80F7,3,ascii,!  ,,,
0x823A,0x823E,4,ascii,"b,/",,,
0x847C,0x8480,4,ascii,% D,si,,
0x848C,0x848F,3,ascii,!  ,,,
0x8494,0x8497,3,ascii,!  ,,,
0x883E,0x8841,3,ascii,1&!,,,
0x89DA,0x89DD,3,ascii,1&!,,,
0x9090,0x9094,4,ascii,% d,,,
0x92A0,0x92A4,4,ascii,% D,si,,
0x92EF,0x92F3,4,ascii,0! ,,,
0x9B94,0x9B98,4,ascii,% d,,,
0x9BA2,0x9BA6,4,ascii,"b,2",,,
0x9D76,0x9D7A,4,ascii,"b,}",,,
0x9F9E,0x9FA2,4,ascii,"b,}",,,
0xA369,0xA36C,3,ascii,h)%,,,
0xA3AE,0xA3B1,3,ascii,"""2!",,,
0xA5F0,0xA5F3,3,ascii,!  ,,,
0xA69C,0xA69F,3,ascii,!  ,,,
0xA83C,0xA83F,3,ascii,!  ,,,
0xAC42,0xAC46,4,ascii,"b,U",,,
0xAE0F,0xAE13,4,ascii,4! ,,,
0xAE92,0xAE97,5,ascii,1&! ,,,
0xB1F8,0xB1FC,4,ascii,% D,si,,
0xB2E4,0xB2E8,4,ascii,% D,si,,
0xB91E,0xB921,3,ascii,1&!,,,
0xBB36,0xBB39,3,ascii,1&!,,,
0xC18C,0xC18F,3,ascii,!( ,,,
0xC1DC,0xC1DF,3,ascii,!( ,,,
0xC1E4,0xC1E7,3,ascii,!( ,,,
0xC254,0xC257,3,ascii,!( ,,,
0xC340,0xC343,3,ascii,!( ,,,
0xC538,0xC53B,3,ascii,!( ,,,
0xC6B4,0xC6B7,3,ascii,!( ,,,
0xC728,0xC72B,3,ascii,!( ,,,
0xC730,0xC733,3,ascii,!  ,,,
0xC76C,0xC76F,3,ascii,!( ,,,
0xC774,0xC777,3,ascii,!  ,,,
0xC7D4,0xC7D7,3,ascii,!( ,,,
0xC808,0xC80B,3,ascii,!( ,,,
0xC83C,0xC83F,3,ascii,!( ,,,
0xC844,0xC847,3,ascii,!  ,,,
0xC890,0xC893,3,ascii,!( ,,,
0xC898,0xC89B,3,ascii,!  ,,,
0xCAE4,0xCAE7,3,ascii,!  ,,,
0xCAF4,0xCAF7,3,ascii,!  ,,,
0xCB10,0xCB13,3,ascii,!  ,,,
0xCBE4,0xCBE7,3,ascii,!  ,,,
0xCC14,0xCC17,3,ascii,!  ,,,
0xCC24,0xCC27,3,ascii,!  ,,,
0xCC34,0xCC37,3,ascii,!  ,,,
0xCC44,0xCC47,3,ascii,!  ,,,
0xCC64,0xCC67,3,ascii,!  ,,,
0xCC74,0xCC77,3,ascii,!  ,,,
0xCC98,0xCC9B,3,ascii,!  ,,,
0xCCA8,0xCCAB,3,ascii,!( ,,,
0xCCE8,0xCCEB,3,ascii,!  ,,,
0xCEAC,0xCEAF,3,ascii,!( ,,,
0xD050,0xD053,3,ascii,!( ,,,
0xD110,0xD113,3,ascii,!( ,,,
0xD158,0xD15B,3,ascii,!( ,,,
0xD1A4,0xD1A7,3,ascii,!( ,,,
0xD1F8,0xD1FB,3,ascii,!( ,,,
0xD2AC,0xD2AF,3,ascii,!( ,,,
0xD320,0xD323,3,ascii,!( ,,,
0xD328,0xD32B,3,ascii,!  ,,,
0xD3F0,0xD3F3,3,ascii,!( ,,,
0xD40C,0xD40F,3,ascii,!( ,,,
0xD434,0xD437,3,ascii,!( ,,,
0xD45C,0xD45F,3,ascii,!( ,,,
0xD470,0xD473,3,ascii,!  ,,,
0xD78C,0xD78F,3,ascii,!  ,,,
0xD794,0xD797,3,ascii,!  ,,,
0xD7A8,0xD7AB,3,ascii,!0 ,,,
0xD7E4,0xD7E7,3,ascii,!  ,,,
0xD7EC,0xD7EF,3,ascii,!  ,,,
0xDA60,0xDA65,5,ascii,% D,si,,
0xDB1E,0xDB22,4,ascii,R& ,,,
0xE068,0xE06B,3,ascii,!  ,,,
0xE1CC,0xE1CF,3,ascii,!( ,,,
0xE234,0xE237,3,ascii,!( ,,,
0xE250,0xE253,3,ascii,!  ,,,
0xE2B4,0xE2B7,3,ascii,!( ,,,
0xE498,0xE49B,3,ascii,!( ,,,
0xE4F0,0xE4F3,3,ascii,!( ,,,
0xE9D0,0xE9D3,3,ascii,!(%,,,
0xE9E8,0xE9EB,3,ascii,!(%,,,
0xEA6C,0xEA6F,3,ascii,!(%,,,
0xEA84,0xEA87,3,ascii,!(%,,,
0xED50,0xED53,3,ascii,!( ,,,
0xED58,0xED5B,3,ascii,!  ,,,
0xEE52,0xEE55,3,ascii,R&},,,
0xEE6A,0xEE6D,3,ascii,R&},,,
0xF014,0xF017,3,ascii,!( ,,,
0xF128,0xF12B,3,ascii,!  ,,,
0xF150,0xF153,3,ascii,!0 ,,,
0xF28C,0xF290,4,ascii,!(S,,,
0xF2B8,0xF2BB,3,ascii,!( ,,,
0xF41C,0xF420,4,ascii,!(s,,,
0xF448,0xF44B,3,ascii,!( ,,,
0xF44E,0xF452,4,ascii,""".b",,,
0xF488,0xF48B,3,ascii,!(e,,,
0xF968,0xF96B,3,ascii,!  ,,,
0xFC84,0xFC87,3,ascii,!0 ,,,
0xFCAC,0xFCAF,3,ascii,!( ,,,
0xFCD4,0xFCD7,3,ascii,!0 ,,,
0xFEB4,0xFEB7,3,ascii,!0 ,,,
0xFED7,0xFEDB,4,ascii,'!( ,,,
0xFEFB,0xFEFE,3,ascii,'!0,,,
0x10044,0x10047,3,ascii,!0&,,,
0x100C0,0x100C3,3,ascii,!(%,,,
0x1020D,0x10210,3,ascii, b(,,,
0x103EB,0x103EF,4,ascii,&! ,,,
0x10430,0x10433,3,ascii,!( ,,,
0x1054E,0x10551,3,ascii,B4!,,,
0x10637,0x1063A,3,ascii,&! ,,,
0x1071A,0x1071E,4,ascii,B.s,,,
0x10729,0x1072E,5,ascii,:1&,,,
0x10809,0x1080E,5,ascii,J1&,,,
0x10A4C,0x10A4F,3,ascii,!  ,,,
0x10C48,0x10C4B,3,ascii,!( ,,,
0x10CE4,0x10CF3,15,ascii,Insert Disc %d,,,
0x10D18,0x10D2C,20,ascii, 00:00 ACT 1,,,00:00 ACTO 1
0x10D40,0x10D84,68,ascii,Insert new Memory Card(s)\nand press Confirm to continue.,,si,Inserte Memory Card(s) y\npresione Confirmar para continuar.
0x1113D,0x11141,4,ascii,}&1!,,,
0x11156,0x11159,3,ascii,"!""2",,,
0x1116D,0x11174,7,ascii,"""vgvg3P",,,
0x11175,0x1117C,7,ascii,bwwww6P,si,,
0x1117D,0x11184,7,ascii,bwwww6P,si,,
0x11185,0x1118C,7,ascii,bwvgw6P,,,
0x1118E,0x11194,6,ascii,wvgwhP,,,
0x1119D,0x111A1,4,ascii,bxww,,,
0x111A7,0x111AA,3,ascii,wwh,,,
0x111AD,0x111B7,10,ascii,"ffVeffPa""i",si,,
0x111C0,0x111C4,4,ascii,ji3Y,,,
0x111C8,0x111D4,12,ascii,j6cYPUUUUUUe,si,,
0x111DE,0x111E1,3,ascii," ""2",,,
0x111F5,0x111FC,7,ascii,"""vgvg3P",,,
0x111FD,0x11204,7,ascii,bwwww6P,si,,
0x11205,0x1120C,7,ascii,bwwww6P,si,,
0x1120D,0x11214,7,ascii,bwvgw6P,,,
0x11216,0x1121C,6,ascii,wvgwhP,,,
0x11225,0x11229,4,ascii,bxww,,,
0x1122A,0x1122E,4,ascii,&Pa&,,,
0x1122F,0x11234,5,ascii,wwhbV,,,
0x11235,0x1123C,7,ascii,ffVeffY,,,
0x11242,0x11246,4,ascii,"cYa""",,,
0x11248,0x11256,14,ascii,j93VPUUUUUUeSC,si,,
0x112C8,0x112CB,3,ascii,9cO,,,
0x112D6,0x112D9,3,ascii,"!""""",,,
0x112E5,0x112EA,5,ascii, 3333,,,
0x112ED,0x112F2,5,ascii, 3333,,,
0x112F5,0x112FA,5,ascii, 3333,,,
0x112FD,0x11302,5,ascii, 3333,,,
0x1130D,0x11312,5,ascii,03c33,,,
0x11315,0x1131A,5,ascii, 3'r3,,,
0x11336,0x11339,3,ascii,")""""",,,
0x1135E,0x11361,3,ascii," """"",,,
0x1136D,0x11372,5,ascii, 3333,,,
0x11375,0x1137A,5,ascii, 3333,,,
0x1137D,0x11382,5,ascii, 3333,,,
0x11385,0x1138A,5,ascii, 3333,,,
0x11395,0x1139A,5,ascii,03c33,,,
0x1139D,0x113A2,5,ascii, 3'r3,,,
0x113B7,0x113BC,5,ascii,"33(""Y",,,
0x113BE,0x113C1,3,ascii,")""""",,,
0x11439,0x1143C,3,ascii,HK(,,,
0x1143D,0x11440,3,ascii,i&1,,,
0x11456,0x11459,3,ascii,"!""""",,,
0x1146D,0x11472,5,ascii, c6c6,,,
0x11475,0x1147A,5,ascii, ffff,si,,
0x1147D,0x11482,5,ascii, ffff,si,,
0x11485,0x1148A,5,ascii,pffff,,,
0x1148F,0x11492,3,ascii,gvh,,,
0x11495,0x11498,3,ascii,pfh,,,
0x1149D,0x114A2,5,ascii, gffv,,,
0x114A6,0x114A9,3,ascii,gff,,,
0x114B5,0x114B9,4,ascii,p|ww,,,
0x114CB,0x114D3,8,ascii,YPUUUUUU,,,
0x114DE,0x114E1,3,ascii," """"",,,
0x114F5,0x114FA,5,ascii, c6c6,,,
0x114FD,0x11502,5,ascii, ffff,si,,
0x11505,0x1150A,5,ascii, ffff,si,,
0x1150E,0x11512,4,ascii,ffff,,,
0x11525,0x11529,4,ascii, iff,,,
0x1152E,0x11531,3,ascii,iff,,,
0x11570,0x115B4,68,ascii,You can save up to %d game(s).\nContinue with this Memory Card?,,si,Podes guardar hasta %d juego(s).\n¿Continuar con esta Memoria?
0x115BF,0x115C2,3,ascii,.&1,,,
0x115D6,0x115D9,3,ascii,"!""3",,,
0x11611,0x11617,6,ascii,"w7dA""s",,,
0x11619,0x1161E,5,ascii,"w9dA""",,,
0x1161F,0x11629,10,ascii,"ww|9dA""sww",si,,
0x1162A,0x1162E,4,ascii,"3dA""",si,,
0x1162F,0x11636,7,ascii,"ww83dA""",,,
0x1163A,0x1163D,3,ascii,3dA,si,,
0x1164B,0x11653,8,ascii,dnffffff,,,
0x11660,0x11667,7,ascii,?ODdADR,,,
0x11699,0x1169F,6,ascii,"w7dA""s",,,
0x116A1,0x116A6,5,ascii,"w9dA""",,,
0x116A7,0x116B1,10,ascii,"ww|9dA""sww",si,,
0x116B2,0x116B6,4,ascii,"3dA""",si,,
0x116B7,0x116BD,6,ascii,ww83dA,,,
0x116C2,0x116C8,6,ascii,9dAYUx,,,
0x116CB,0x116D3,8,ascii,dnffffff,,,
0x11700,0x11734,52,ascii,Continue without Memory Card?,,,¿Continuar sin Memory Card?
0x11740,0x11745,5,ascii,&1Sg2,,,
0x11756,0x1175A,4,ascii,"""34""",,,
0x1175D,0x11762,5,ascii, SESE,,,
0x117C1,0x117C4,3,ascii,RUb,,,
0x117E6,0x117EA,4,ascii,SESE,,,
0x118BE,0x118C1,3,ascii,&1!,,,
0x118D6,0x118D9,3,ascii,"!""""",,,
0x118ED,0x118F2,5,ascii," ""'vg",,,
0x118F5,0x118F8,3,ascii, (),,,
0x118FD,0x11915,24,ascii,"""w'ww&P!bwvgw&R!bwvgwjR!",si,,
0x11916,0x11921,11,ascii,wwww&TAdz'r,si,,
0x11927,0x1192C,5,ascii,wwjDP,,,
0x11935,0x11938,3,ascii,|fz,,,
0x11939,0x1193C,3,ascii,fgP,,,
0x11941,0x11945,4,ascii,fzVq,,,
0x11946,0x11954,14,ascii,ffff}WPUUUUUUe,si,,
0x1195E,0x11961,3,ascii," """"",,,
0x11975,0x1197A,5,ascii," ""'vg",,,
0x1197B,0x11980,5,ascii,P! (),,,
0x11983,0x1199D,26,ascii,"R!""w'ww&R!bwvgw&R!bwvgwjR!",si,,
0x1199E,0x119A9,11,ascii,wwww&TAdz'r,si,,
0x119AF,0x119B4,5,ascii,wwjDP,,,
0x119C1,0x119C5,4,ascii,fwWq,,,
0x119C9,0x119D4,11,ascii,fzWPUUUUUUe,si,,
0x119E1,0x119E4,3,ascii,)%d,,,
0x119F8,0x11A20,40,ascii,Which Memory Card do you want to  use?,,si,¿Cuál Memory Card quieres usar?
0x11A20,0x11A64,68,ascii,Insufficient Memory Card space.\n3 blocks are required to save.,,si,"Espacio insuficiente, 3 bloques\nson requeridos para guardar."
0x11A64,0x11AA4,64,ascii,Insert new Memory Card(s)\nand press Confirm to continue. ,,si,Inserte Memory Card(s) y\npresione Confirmar para continuar.
0x11AA4,0x11AD8,52,ascii,Memory Card is full.  You will not be able to save.,,si,Memoria llena. No podrás guardar.
0x11AD8,0x11B14,60,ascii,You can save up to %d games.\nContinue?,,si,Puedes guardar hasta %d juegos.\n¿Continuar?
0x11B14,0x11B54,64,ascii,Memory Card %d has not been formatted.  Format now?,,si,Memory Card %d no formateada.\n¿Formatear ahora?
0x11B54,0x11B94,64,ascii,Are you sure you want to format Memory Card %d?,,si,¿Seguro que quieres\nformatear Memory Card %d?
0x11B94,0x11BC0,44,ascii,Now formatting Memory Card %d....,,,Formateando Memory Card %d....
0x11BC0,0x11BD0,16,ascii,Format failed.,,,Error formato.
0x11BD0,0x11BE4,20,ascii,Format complete.,,,Formato completado.
0x11BE4,0x11C00,28,ascii,Return to game?,,si,¿Volver al juego?
0x11C00,0x11C18,24,ascii,No Memory Card found.,,si,Memoria no encontrada.
0x11C88,0x11C90,8,ascii,Yes,,si,Si
0x11CA8,0x11CB8,16,ascii,Memory Card 1,,,
0x11CB8,0x11CC8,16,ascii,Memory Card 2,,,
