offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0xBFECC,0xBFEFA,46,ascii,When's someone gonna call with\nan actual case?,,si,
0xE7225,0xE7230,11,ascii, CTUEDDTUUD,si,,
0xE9112,0xE9120,14,ascii,4DC3DC4DC4C4DC,si,,
0xE9122,0xE9130,14,ascii,4DC4DC4D3DC4DC,si,,
0xE9132,0xE9140,14,ascii,4DC4DC4D4DC4DC,si,,
0xE9142,0xE9150,14,ascii,4D4TCE4D4ETDTE,si,,
0xE9152,0xE9160,14,ascii,DTDDUUTEdTfUTE,si,,
0xE9162,0xE9170,14,ascii,UUUUEUffffffVU,si,,
0xE9172,0xE9180,14,ascii,UUUUUUUUUUUeff,si,,
0xE9182,0xE9190,14,ascii,ffffffffffVUUU,si,,
0xE9192,0xE91A0,14,ascii,33333C33CC343D,si,,
0x101F67,0x101F71,10,ascii,"!""2C44""!""H",si,,
0x104A02,0x104A0C,10,ascii," 31D&T6""CS",,,
0x106744,0x10674E,10,ascii,/!0TUTTD!R,si,,
0x10A8F6,0x10A900,10,ascii,"""""""""""""""""""""",si,,
0x10A932,0x10A940,14,ascii,4DC4DC4DC4D3DC,si,,
0x10A942,0x10A950,14,ascii,4DC4DC4DC4D4DC,si,,
0x10A952,0x10A960,14,ascii,4DC4DC4DC4C4DC,si,,
0x10A962,0x10A970,14,ascii,TDSD4T4D4ETDTE,si,,
0x10A972,0x10A980,14,ascii,DDEDUeEUdDFVEU,si,,
0x10A982,0x10A990,14,ascii,TEUUUffffVUUUU,si,,
0x10A992,0x10A9A0,14,ascii,UUUUUUUUefffff,si,,
0x10A9A2,0x10A9B0,14,ascii,3333333333333C,si,,
0x10A9B2,0x10A9C0,14,ascii,3333333333333C,si,,
0x10A9C2,0x10A9D0,14,ascii,343433333CD3DC,si,,
0x12BC56,0x12BC61,11,ascii,"!!""Uf4212BH",si,,
0x13AEE2,0x13AEF0,14,ascii,"""""2""""3BB4DCTEd",si,,
0x13AEF2,0x13AF00,14,ascii,UUDTfffVeeffff,si,,
0x13AF32,0x13AF40,14,ascii,"3223""333333343",si,,
0x13AF76,0x13AF80,10,ascii,"""3DU5324Ud",si,,
0x13DD52,0x13DD5F,13,ascii,2%TS5bC6TTQ45,si,,
0x13E1F2,0x13E1FD,11,ascii,"C0A!""!201P!",si,,
0x1425C2,0x1425D0,14,ascii,DC3D34C3BDDD3C,si,,
0x15E342,0x15E350,14,ascii,4DC4DC4C4DC4DC,si,,
0x15E352,0x15E360,14,ascii,4DC4DCDC4DC4DC,si,,
0x15E362,0x15E370,14,ascii,4DC4D3DD4ETTTD,si,,
0x15E372,0x15E380,14,ascii,EUDTUUUUETVTUU,si,,
0x15E382,0x15E390,14,ascii,VfdVffffffffff,si,,
0x15E392,0x15E3A0,14,ascii,fffUUUUUUUUUUU,si,,
0x15E3A2,0x15E3B0,14,ascii,UUffffffffVUUU,si,,
0x15E3B2,0x15E3C0,14,ascii,33333433333C43,si,,
0x166375,0x166380,11,ascii,6d32&DPS2gB,si,,
0x1961D5,0x1961DF,10,ascii,.332Ap20B3,si,,
0x1983F2,0x1983FF,13,ascii,"fFE4""!""!2DTce",si,,
0x19E2E2,0x19E2F0,14,ascii,4DcSUDDFS45UDE,si,,
0x19E342,0x19E350,14,ascii,"""""!""""""""22C2443",si,,
0x19E3D2,0x19E3E0,14,ascii,4D4DC4DC4DC4DC,si,,
0x19E3E2,0x19E3F0,14,ascii,4C4DC4DCUSDTDU,si,,
0x19E3F2,0x19E400,14,ascii,SETDU4ETDU4ETD,si,,
0x19E402,0x19E410,14,ascii,T4ETDTDETETTUU,si,,
0x19E412,0x19E420,14,ascii,UUUUUUUfffffff,si,,
0x19E422,0x19E430,14,ascii,ffffffUUUUUUUU,si,,
0x19E432,0x19E440,14,ascii,Ueffffffffffff,si,,
0x19E442,0x19E450,14,ascii,33333D4DDCDDCD,si,,
0x1A63D3,0x1A63DD,10,ascii, 1d?1-KRBr,,,
0x1AB8A0,0x1AB8DE,62,ascii,"Well, well, who's this? A client\nactually showing up on time? ",,si,
0x1AB8F0,0x1AB8FA,10,ascii,It's open!,,,
0x1B9532,0x1B9540,14,ascii,E4TDDDD4344TUT,si,,
0x1B9542,0x1B9550,14,ascii,DEUTUeeETTUDTT,si,,
0x1B9563,0x1B9570,13,ascii,!C33C33DUeUff,si,,
0x1B95B2,0x1B95C0,14,ascii,334DDDC3333334,si,,
0x1B95D2,0x1B95E0,14,ascii,DTDDDUDDTUDTUD,si,,
0x1B9604,0x1B9610,12,ascii,"!2""""33CCDCCC",si,,
0x1B9612,0x1B9620,14,ascii,DDTDED44D3CCDD,si,,
0x1C1862,0x1C1870,14,ascii,UVefffVTTEED3B,si,,
0x1C4146,0x1C4150,10,ascii,"!""""333CDDT",si,,
0x1C7912,0x1C7920,14,ascii,TeffUEE33D4CDU,si,,
0x1C7932,0x1C7940,14,ascii,VVDUfDD3TeU4D3,si,,
0x1C7962,0x1C7970,14,ascii,CEDDED3C44CCCD,si,,
0x1C7972,0x1C7980,14,ascii,"D4C3333""!!""""""2",si,,
0x1D6080,0x1D6092,18,ascii,"Hello, Jonathan.  ",,,
0x1D60A4,0x1D60B2,14,ascii,Lorraine...?  ,si,,
0x1D80D3,0x1D80E0,13,ascii,"""""""233CEDDDEE",si,,
0x1D8226,0x1D8231,11,ascii,"5 2""""3B QR+",,,
0x1E3373,0x1E3380,13,ascii,"""23""23333""33C",si,,
0x1E5232,0x1E5241,15,ascii,"EUEV44C33433CD,",si,,
0x1E9642,0x1E9650,14,ascii,DCeVFUDEUED3TU,si,,
0x1EAAA0,0x1EAAAA,10,ascii,Surprised?,si,,
0x1EAABC,0x1EAADA,30,ascii,"It's been... what, 28 years?  ",,si,
0x1EAAEC,0x1EAB06,26,ascii,What are you doing here?  ,,si,
0x1EAB18,0x1EAB42,42,ascii,Look at you.  You haven't changed\na bit.  ,,si,
0x1EAB54,0x1EAB7E,42,ascii,I could probably pass for your\nmother now.,,si,
0x1EAB90,0x1EABA6,22,ascii,But... why? Why now?  ,,si,
0x1EABB8,0x1EAC06,78,ascii,I don't expect you to forgive me.  I\nknow I've got a lot of nerve\ncoming here.,,si,
0x1EAC18,0x1EAC42,42,ascii,But you're the only one who can\nhelp me.  ,,si,
0x1EAC54,0x1EAC62,14,ascii,What's wrong? ,si,,
0x1EAC74,0x1EAC9A,38,ascii,Something's... happened to my\nhusband.,,si,
0x1EACAC,0x1EACCE,34,ascii,"I see.  Alright, well, come on in.",,si,
0x1EACE0,0x1EACFE,30,ascii,"To be honest, I'd rather not. ",,si,
0x1EAD10,0x1EAD4E,62,ascii,You wouldn't recognize me.  I just\nwouldn't feel comfortable. ,,si,
0x1EEE64,0x1EEE6E,10,ascii,"N5!N?3""!C2",si,,
0x1F6C46,0x1F6C51,11,ascii,DB AC12U2B+,,,
0x1F6E32,0x1F6E3C,10,ascii,"!""""1!""O 3!",,,
0x1F8A45,0x1F8A4F,10,ascii,NMP!2D424!,si,,
0x20AB77,0x20AB81,10,ascii,"0 1DAB""!!C",,,
0x20FCC5,0x20FCCF,10,ascii,2A4!! 22!3,,,
0x221857,0x221861,10,ascii,R2BB3DC4!+,si,,
0x223C04,0x223C0E,10,ascii,"2""%APA1R11",si,,
0x2278D2,0x2278DE,12,ascii,4r1w-C%%D3TE,si,,
0x238595,0x23859F,10,ascii,"/dB!a""2R'D",si,,
0x240E82,0x240E8E,12,ascii,cSADSUUSU43V,si,,
0x241A46,0x241A51,11,ascii,!CT&EVbAE3+,si,,
0x244162,0x24416D,11,ascii,UQD65A44eM',si,,
0x247812,0x24781C,10,ascii,"""2""""""2BRU3",si,,
0x24AA04,0x24AA0F,11,ascii,O2 .MRMo--A,,,
0x2506C2,0x2506CD,11,ascii,"A  ""An0""1Q2",,si,
0x2506D2,0x2506E1,15,ascii,"!&&24CbA""ASo0""+",si,,
0x2566B2,0x2566BC,10,ascii,E5CrC4EvUU,si,,
0x2569E2,0x2569ED,11,ascii,6Q1E4DC!OCC,si,,
0x25C845,0x25C851,12,ascii,"R!A""32B4O41+",si,,
0x25CBA3,0x25CBAF,12,ascii,%322233AB2C2,si,,
0x267547,0x267551,10,ascii,"""1!!22100+",si,,
0x267976,0x267980,10,ascii,%%21pAB2OB,si,,
0x268A45,0x268A50,11,ascii,"T 3B24""314A",,,
0x268D44,0x268D51,13,ascii,"6!QPR!13P""""A+",si,,
0x2695C2,0x2695CF,13,ascii,"1B1""&n""""4AA32",si,,
0x269C75,0x269C80,11,ascii,"32""C1BBA22""",si,,
0x26A133,0x26A140,13,ascii,"EA""2 %""4131q?",,,
0x270BE2,0x270BED,11,ascii,4r3Buu4tT%e,si,,
0x284070,0x284086,22,ascii,"Fair enough, Lorraine.",,,
0x284098,0x2840B2,26,ascii,"Or should it be ""ma'am""?  ",,si,
0x2840C4,0x2840EE,42,ascii,"At any rate, you'll need to fill me\nin.   ",,si,
0x285C22,0x285C30,14,ascii,"CDDDDDSUUD""2Te",si,,
0x28B077,0x28B081,10,ascii,!25D55BS4E,si,,
0x291BE5,0x291BF0,11,ascii,&QSTRTDfEc5,si,,
0x291F82,0x291F8D,11,ascii,"""23""BC&5CWE",si,,
0x297AF6,0x297B00,10,ascii,?Ep3dDB%B2,si,,
0x29ED82,0x29ED90,14,ascii,CT44DCDDDeUeUU,si,,
0x29ED92,0x29EDA0,14,ascii,DDDDDDETUETETT,si,,
0x2A00F0,0x2A0112,34,ascii,Not a whole lot's changed since   ,,si,
0x2A0124,0x2A013A,22,ascii,me and you lived here.,,si,
0x2A014C,0x2A0176,42,ascii,New LA is a separate place just up\nnorth. ,,si,
0x2A0188,0x2A01B6,46,ascii,We get the odd bit of snow like\ntoday as well.,,si,
0x2A01C8,0x2A01E2,26,ascii,Some real crazy weather.  ,,si,
0x2A3992,0x2A399E,12,ascii,CTDEQE5TC!CV,si,,
0x2ABE46,0x2ABE50,10,ascii,0&?FUE02oA,si,,
0x2B2992,0x2B299D,11,ascii,"B""!F3V6Cp3b",si,,
0x2B5503,0x2B550E,11,ascii,G704U FD?5O,,,
0x2B6F72,0x2B6F7E,12,ascii,E3DCCC4%UTD?,si,,
0x2B81D6,0x2B81E0,10,ascii,! ! 0! O 0,,,
0x2B9355,0x2B9361,12,ascii,BUDC3VdC425D,si,,
0x2C0812,0x2C081C,10,ascii,"?W4Cda""BE'",si,,
0x2C6894,0x2C68A0,12,ascii,5UC3CD333333,si,,
0x2D08A0,0x2D08C6,38,ascii,Big difference from Beyond's\ngrowth.  ,,si,
0x2D08D8,0x2D090E,54,ascii,"Times have changed, and this\nplace got left behind.   ",,si,
0x2DC145,0x2DC150,11,ascii,"?OQ.2&2S3""E",si,,
0x2DD945,0x2DD951,12,ascii,5S2qSESVbC4+,si,,
0x2DE402,0x2DE411,15,ascii,aBB?RQ1q 03Cn!+,,,
0x2E8890,0x2E88CA,58,ascii,"None of the friends or contacts I\nhad are still around,   ",,si,
0x2E88DC,0x2E8906,42,ascii,but I do know guys in the same\nbusiness.  ,,si,
0x2E8918,0x2E8932,26,ascii,"Are you married, Jonathan?",,si,
0x2E8944,0x2E895A,22,ascii,I noticed your ring.  ,,si,
0x2E896C,0x2E899E,50,ascii,"Oh... no, I just keep a lot of old\nstuff around.  ",,si,
0x2E89B0,0x2E89D6,38,ascii,This is from... when we were\ntogether.,,si,
0x2E89E8,0x2E8A16,46,ascii,"Damned thing left a mark on my\nskin, you know?",,si,
0x2EC712,0x2EC71D,11,ascii,ST5TC56SBCR,si,,
0x2FE2F2,0x2FE2FC,10,ascii,"BP""3O&c2!S",si,,
0x2FF3B6,0x2FF3C0,10,ascii,"SS""cCpPC3S",si,,
0x303676,0x303680,10,ascii,4Cnd4!3SfG,si,,
0x304307,0x304311,10,ascii, !1!%BQ1o+,,,
0x304EE2,0x304EEC,10,ascii, DV6Cf4B22,,,
0x3083B4,0x3083BE,10,ascii,"2C2O!1!""""1",si,,
0x3090B4,0x3090BF,11,ascii,"""A23r2dpAa!",si,,
0x309275,0x309281,12,ascii,Gd6TCE%fSVV+,si,,
0x30D4F2,0x30D4FC,10,ascii,"PN""%1BB ""A",,,
0x311C05,0x311C11,12,ascii,dTB4Ab51!R1+,si,,
0x31D116,0x31D121,11,ascii,C6ETs&B3Vd+,si,,
0x31F165,0x31F171,12,ascii,331CPa%3Cc +,,,
0x325356,0x325360,10,ascii,"6bDC""%35ad",si,,
0x32FD66,0x32FD71,11,ascii,FFDCQE51TD+,si,,
0x338066,0x338071,11,ascii,41?/}RP0?A+,si,,
0x33C0F0,0x33C11A,42,ascii,I see you still keep pictures of me\ntoo.  ,,si,
0x33C12C,0x33C136,10,ascii,Yeah....  ,si,,
0x33C148,0x33C162,26,ascii,That's... nice to know.   ,,si,
0x33C174,0x33C1A6,50,ascii,It feels like it was all... just the\nother day.   ,,si,
0x33C1B8,0x33C1C2,10,ascii,I'm sorry.,,,
0x33C1D4,0x33C20E,58,ascii,Here I am talking to you about my\nhusband and everything. ,,si,
0x33CF52,0x33CF60,14,ascii,UDTETSDd&5TVTD,si,,
0x33CF62,0x33CF70,14,ascii,CDbCD45T5ET5C4,si,,
0x33CF72,0x33CF80,14,ascii,EUUTUDEUeVTUEU,si,,
0x33D032,0x33D040,14,ascii,SFR455EUTSDTVf,si,,
0x3465E6,0x3465F1,11,ascii,",.N.COB0C6""",si,,
0x3480A2,0x3480AE,12,ascii,"""!!2BBBB3TSV",si,,
0x349412,0x34941E,12,ascii,3D3D3C4BEDdd,si,,
0x384CA4,0x384CB1,13,ascii,dV!&C%&3%41T+,si,,
0x38E080,0x38E08E,14,ascii,You smoke now?,,si,
0x392AF7,0x392B01,10,ascii,"0""30!!21!+",si,,
0x392D13,0x392D1D,10,ascii,"1""!0A3%%""2",si,,
0x3990A8,0x3990E2,58,ascii,Doesn't carry as much stigma\nhere as it does out there.   ,,si,
0x3AED92,0x3AEDA0,14,ascii,BD4333333DCCC4,si,,
0x3B0080,0x3B009A,26,ascii,You never smoked before.  ,,si,
0x3B00AC,0x3B00D2,38,ascii,"Well, I was an astronaut back\nthen.   ",,si,
0x3B8DC2,0x3B8DCF,13,ascii,"DD33C4333""""""""",si,,
0x3C0B02,0x3C0B0D,11,ascii,BQ D66U&aD4,,,
0x3C9230,0x3C925A,42,ascii,"So, something's happened to your\nhusband? ",,si,
0x3C926C,0x3C928E,34,ascii,"Exactly 3 weeks ago, my husband,  ",,si,
0x3C92A0,0x3C92D6,54,ascii,"Kenzo Hojo, left for work and\nsimply never came home. ",,si,
0x3C92E8,0x3C932A,66,ascii,"I've been to his company and the\npolice, but no one will help me. ",,si,
0x3C933C,0x3C935A,30,ascii,And now you're trying Home?   ,,si,
0x3C936C,0x3C939E,50,ascii,I have a real bad feeling about the\nwhole thing.  ,,si,
0x3C93B0,0x3C93CA,26,ascii,Maybe he went into hiding?,,si,
0x3C93DC,0x3C93EA,14,ascii,"Oh, come on.  ",,si,
0x3C93FC,0x3C942A,46,ascii,People don't just disappear on a\nspace colony.,,si,
0x3C943C,0x3C9462,38,ascii,It's impossible to stay hidden\nthere. ,,si,
0x3C9474,0x3C9492,30,ascii,Had he received any threats?  ,,si,
0x3C94A4,0x3C94B6,18,ascii,Not that I know.  ,,si,
0x3C94C8,0x3C94F6,46,ascii,It's as if he just... vanished into\nthin air. ,,si,
0x3C9508,0x3C953E,54,ascii,It doesn't fit the profile of a\nransom kidnapping.... ,,si,
0x3C9550,0x3C957A,42,ascii,"You think someone's following\nyou, huh?   ",,si,
0x3C958C,0x3C95C6,58,ascii,That's what it feels like.  Could\njust be my imagination. ,,si,
0x3CD292,0x3CD2A0,14,ascii,UDDDDCDTDEDUET,si,,
0x3CD2A2,0x3CD2B0,14,ascii,UE33333UETED23,si,,
0x3CD2C6,0x3CD2D0,10,ascii,"""2C33CSTD2",si,,
0x3CD2D2,0x3CD2E0,14,ascii,"""2333333C443""""",si,,
0x3CD2F2,0x3CD300,14,ascii,fU43CC33333C34,si,,
0x3E0444,0x3E044E,10,ascii,6TC?S42C3E,si,,
0x3E5FC6,0x3E5FD0,10,ascii,RD5CDeVT5D,si,,
0x3EB437,0x3EB441,10,ascii,"31""1D&ED5'",si,,
0x3FFCD7,0x3FFCE1,10,ascii,4B41?1d2b+,si,,
0x40CA37,0x40CA41,10,ascii,332D25A24+,si,,
0x40F002,0x40F00E,12,ascii,C6R%cdTUt&Db,si,,
0x415CB2,0x415CBD,11,ascii,GUS5t524D/1,si,,
0x41F652,0x41F65D,11,ascii,"%3""%21AC BB",,,
0x42F232,0x42F23C,10,ascii,"10SN1""R02!",si,,
0x42F323,0x42F32D,10,ascii,"EA%BA11Q""2",si,,
0x433956,0x433961,11,ascii,43RC4%C243(,si,,
0x439B42,0x439B51,15,ascii,TUV4Cq5TQd!!mC+,si,,
0x43DDE5,0x43DDF1,12,ascii,"3""0231FT134+",si,,
0x43E472,0x43E47D,11,ascii,CTQBBUE4p.1,si,,
0x441007,0x441011,10,ascii,"""05P!Mc3/+",si,,
0x4484B7,0x4484C1,10,ascii,3CBS6TPB3+,si,,
0x44E5E6,0x44E5F0,10,ascii,2O0d-%3!DD,si,,
0x458B92,0x458BA0,14,ascii,EDDDTEUUUUUUTC,si,,
0x461F24,0x461F31,13,ascii,43?R1BP20!S2K,si,,
0x46A125,0x46A131,12,ascii,444QBVToCFV(,si,,
0x46AB02,0x46AB0D,11,ascii,"1!""121QBWUO",si,,
0x472B76,0x472B80,10,ascii,"""2344C4DCD",si,,
0x472BD6,0x472BE0,10,ascii,"""23CCDEEUU",si,,
0x472BE2,0x472BF0,14,ascii,TUEDUTUUUUUUUU,si,,
0x472BF2,0x472C00,14,ascii,TDDC3CDD4C33CC,si,,
0x472C02,0x472C10,14,ascii,DDDDDD3C232323,si,,
0x474140,0x474166,38,ascii,So this Hojo guy....  What's he\nlike? ,,si,
0x474178,0x474196,30,ascii,"Well, Kenzo is also a Nisei.  ",,si,
0x4741A8,0x4741EE,70,ascii,He works as a pharmaceutical\nengineer for Tokugawa\nPharmaceuticals.   ,,si,
0x474200,0x47423A,58,ascii,He's honest and hard-working.... \nHe'd never hurt anyone. ,,si,
0x47424C,0x474272,38,ascii,Here's the picture I told you\nabout.  ,,si,
0x474284,0x4742A2,30,ascii,I brought a picture of him.   ,,si,
0x4742B4,0x4742C6,18,ascii,That's him there. ,,si,
0x47B656,0x47B661,11,ascii,"BC!AAO!13"")",si,,
0x47D886,0x47D891,11,ascii,"oD0""6UC44F7",si,,
0x47F115,0x47F121,12,ascii,"3?CT5""B4VT%+",si,,
0x485F56,0x485F61,11,ascii,"V4SU""UE%GS+",si,,
0x4864D7,0x4864E1,10,ascii,CBe045B45+,si,,
0x487EB3,0x487EBD,10,ascii,  ! 01CC4B,,,
0x48A123,0x48A131,14,ascii,nVBSF2TdUUsEU+,si,,
0x48A317,0x48A321,10,ascii,"""C!""!1""1""+",si,,
0x48AB66,0x48AB71,11,ascii,"""1""""""!R05SG",si,,
0x48EC07,0x48EC11,10,ascii,"R!1T""BBcRI",si,,
0x495C13,0x495C1E,11,ascii,"""4Dc5V4CA1!",si,,
0x49BEA2,0x49BEAC,10,ascii,DB4RT13R!Q,si,,
0x4A0FA4,0x4A0FB0,12,ascii,6EQSba1!Q2SB,si,,
0x4A1592,0x4A159C,10,ascii,"FUaR""%U""!""",si,,
0x4A1C73,0x4A1C7D,10,ascii,3EO3CCDB4D,si,,
0x4A3F23,0x4A3F2E,11,ascii,32455UdTfcF,si,,
0x4AA702,0x4AA70C,10,ascii,"T!G6""Bb%TT",si,,
0x4AEEC2,0x4AEED0,14,ascii,"!422!3223""""B30",si,,
0x4B5FB4,0x4B5FBE,10,ascii,"""11O""3""!N""",si,,
0x4B7222,0x4B7231,15,ascii,oAc!dB%V?0TRCR+,si,,
0x4BBDA6,0x4BBDB0,10,ascii,"""3CD433D33",si,,
0x4C60B2,0x4C60C0,14,ascii,323DC32343D433,si,,
0x4C9EE2,0x4C9EF0,14,ascii,EDD4DDUDDDTUEU,si,,
0x4CF8F4,0x4CF912,30,ascii,Looks like a nice enough guy. ,,,
0x4CF924,0x4CF93A,22,ascii,And you look happy.   ,,si,
0x4CF94C,0x4CF96A,30,ascii,"Yeah... I am.  Was, anyway.   ",,si,
0x4CF97C,0x4CF99A,30,ascii,There's those earrings again. ,,si,
0x4CF9AC,0x4CF9CE,34,ascii,"I'll let you hang onto that, yeah?",,si,
0x4CF9E0,0x4CFA02,34,ascii,"A little early for that, isn't it?",,si,
0x4D4DC2,0x4D4DCF,13,ascii,W1E4B41/2V2T?,si,,
0x4DBD54,0x4DBD5F,11,ascii,"""21SSC3UTSe",si,,
0x4DD4B2,0x4DD4BC,10,ascii,"TTED4DD""33",si,,
0x4EC467,0x4EC471,10,ascii,!T C454D2+,,,
