offset,offset_fin,largo_original,encoding,texto,ruido_probable,palabra_reconocible,traduccion
0x164A,0x164F,5,ascii,s&! ,,,
0x16FB,0x1700,5,ascii,4! ,,,
0x17BD,0x17C0,3,ascii,C1&,,,
0x17D0,0x17D3,3,ascii,!  ,,,
0x17EC,0x17EF,3,ascii,!( ,,,
0x1823,0x1827,4,ascii,4}f,,,
0x1863,0x1867,4,ascii,42e,si,,
0x1B7C,0x1B7F,3,ascii,!( ,,,
0x1B84,0x1B87,3,ascii,!  ,,,
0x1E40,0x1E43,3,ascii,!( ,,,
0x1E92,0x1E95,3,ascii,"""&t",,,
0x1F54,0x1F57,3,ascii,!  ,,,
0x1F7C,0x1F7F,3,ascii,!0 ,,,
0x20B8,0x20BC,4,ascii,!(S,,,
0x20E4,0x20E7,3,ascii,!( ,,,
0x2248,0x224C,4,ascii,!(s,,,
0x2274,0x2277,3,ascii,!( ,,,
0x227A,0x227E,4,ascii,""".b",,,
0x22B4,0x22B7,3,ascii,!(e,,,
0x2794,0x2797,3,ascii,!  ,,,
0x2AB0,0x2AB3,3,ascii,!0 ,,,
0x2AD8,0x2ADB,3,ascii,!( ,,,
0x2B00,0x2B03,3,ascii,!0 ,,,
0x2CE0,0x2CE3,3,ascii,!0 ,,,
0x2D03,0x2D07,4,ascii,'!( ,,,
0x2D27,0x2D2A,3,ascii,'!0,,,
0x2E70,0x2E73,3,ascii,!0&,,,
0x2EEC,0x2EEF,3,ascii,!(%,,,
0x3039,0x303C,3,ascii, b(,,,
0x3217,0x321B,4,ascii,&! ,,,
0x325C,0x325F,3,ascii,!( ,,,
0x337A,0x337D,3,ascii,B4!,,,
0x3463,0x3466,3,ascii,&! ,,,
0x3546,0x354A,4,ascii,B.s,,,
0x3555,0x355A,5,ascii,H1&,,,
0x3878,0x387B,3,ascii,!  ,,,
0x3AC8,0x3ACB,3,ascii,!( ,,,
0x3B3C,0x3B44,8,ascii,Yes,,si,Si
0x3B58,0x3B64,12,ascii,New Game,,,Juego Nuevo
0x3B64,0x3B70,12,ascii,Continue,,,Continuar
0x3B70,0x3B7C,12,ascii,Options,,,Opciones
0x3B7C,0x3B88,12,ascii,Debug,,,Depuración
0x3B9C,0x3BA6,10,ascii,Subtitles,,,Subtítulo
0x3BA6,0x3BAC,6,ascii,Ruby,,,
0x3BAC,0x3BB8,12,ascii,Captions,,,Subs (CC)
0x3BB8,0x3BC8,16,ascii,Cursor Speed,,,Rapidez Cursor
0x3BC8,0x3BD4,12,ascii,Text Lines,,,Texto
0x3BD4,0x3BE0,12,ascii,Controls,,,Controles
0x3C08,0x3C14,12,ascii,Off,si,,
0x3C2C,0x3C38,12,ascii,Off,si,,
0x3C50,0x3C58,8,ascii,Off,si,,
0x3C64,0x3C6C,8,ascii,Slowest,,,Tortuga
0x3C6C,0x3C78,12,ascii,Slow,,,Lento
0x3C78,0x3C80,8,ascii,Medium,,,Medio
0x3C80,0x3C8C,12,ascii,Fast,,,Rápido
0x3C8C,0x3C94,8,ascii,Fastest,,,Vuela
0x3CC8,0x3CD8,16,ascii,Default,,,Por Defecto
0x3CD8,0x3CE8,16,ascii,Southpaw,,,Zurdo
0x3CE8,0x3CF4,12,ascii,One-handed,,si,Una Mano
0x3D04,0x3D24,32,ascii,Insert Disc %d,,,
0x3D28,0x3D38,16,ascii,Autosave File,,,Auto Guardado
0x3D50,0x3D60,16,ascii, 00:00 ACT 1,si,, 00:00 ACTO 1
0x3DC9,0x3DCD,4,ascii,}&1!,,,
0x3DE2,0x3DE5,3,ascii,"!""2",,,
0x3DF9,0x3E00,7,ascii,"""vgvg3P",,,
0x3E01,0x3E08,7,ascii,bwwww6P,si,,
0x3E09,0x3E10,7,ascii,bwwww6P,si,,
0x3E11,0x3E18,7,ascii,bwvgw6P,,,
0x3E1A,0x3E20,6,ascii,wvgwhP,,,
0x3E29,0x3E2D,4,ascii,bxww,,,
0x3E33,0x3E36,3,ascii,wwh,,,
0x3E39,0x3E43,10,ascii,"ffVeffPa""i",si,,
0x3E4C,0x3E50,4,ascii,ji3Y,,,
0x3E54,0x3E60,12,ascii,j6cYPUUUUUUe,si,,
0x3E6A,0x3E6D,3,ascii," ""2",,,
0x3E81,0x3E88,7,ascii,"""vgvg3P",,,
0x3E89,0x3E90,7,ascii,bwwww6P,si,,
0x3E91,0x3E98,7,ascii,bwwww6P,si,,
0x3E99,0x3EA0,7,ascii,bwvgw6P,,,
0x3EA2,0x3EA8,6,ascii,wvgwhP,,,
0x3EB1,0x3EB5,4,ascii,bxww,,,
0x3EB6,0x3EBA,4,ascii,&Pa&,,,
0x3EBB,0x3EC0,5,ascii,wwhbV,,,
0x3EC1,0x3EC8,7,ascii,ffVeffY,,,
0x3ECE,0x3ED2,4,ascii,"cYa""",,,
0x3ED4,0x3EE2,14,ascii,j93VPUUUUUUeSC,si,,
0x3F54,0x3F57,3,ascii,9cO,,,
0x3F62,0x3F65,3,ascii,"!""""",,,
0x3F71,0x3F76,5,ascii, 3333,,,
0x3F79,0x3F7E,5,ascii, 3333,,,
0x3F81,0x3F86,5,ascii, 3333,,,
0x3F89,0x3F8E,5,ascii, 3333,,,
0x3F99,0x3F9E,5,ascii,03c33,,,
0x3FA1,0x3FA6,5,ascii, 3'r3,,,
0x3FC2,0x3FC5,3,ascii,")""""",,,
0x3FEA,0x3FED,3,ascii," """"",,,
0x3FF9,0x3FFE,5,ascii, 3333,,,
0x4001,0x4006,5,ascii, 3333,,,
0x4009,0x400E,5,ascii, 3333,,,
0x4011,0x4016,5,ascii, 3333,,,
0x4021,0x4026,5,ascii,03c33,,,
0x4029,0x402E,5,ascii, 3'r3,,,
0x4043,0x4048,5,ascii,"33(""Y",,,
0x404A,0x404D,3,ascii,")""""",,,
0x40C5,0x40C8,3,ascii,HK(,,,
0x40C9,0x40CC,3,ascii,i&1,,,
0x40E2,0x40E5,3,ascii,"!""""",,,
0x40F9,0x40FE,5,ascii, c6c6,,,
0x4101,0x4106,5,ascii, ffff,si,,
0x4109,0x410E,5,ascii, ffff,si,,
0x4111,0x4116,5,ascii,pffff,,,
0x411B,0x411E,3,ascii,gvh,,,
0x4121,0x4124,3,ascii,pfh,,,
0x4129,0x412E,5,ascii, gffv,,,
0x4132,0x4135,3,ascii,gff,,,
0x4141,0x4145,4,ascii,p|ww,,,
0x4157,0x415F,8,ascii,YPUUUUUU,,,
0x416A,0x416D,3,ascii," """"",,,
0x4181,0x4186,5,ascii, c6c6,,,
0x4189,0x418E,5,ascii, ffff,si,,
0x4191,0x4196,5,ascii, ffff,si,,
0x419A,0x419E,4,ascii,ffff,,,
0x41B1,0x41B5,4,ascii, iff,,,
0x41BA,0x41BD,3,ascii,iff,,,
0x4200,0x4240,64,ascii,You can save up to %d game(s).\nContinue with this Memory Card?,,si,Podes guardar hasta %d juego(s).\n¿Continuar con esta Memoria?
0x424B,0x424E,3,ascii,.&1,,,
0x4262,0x4265,3,ascii,"!""3",,,
0x429D,0x42A3,6,ascii,"w7dA""s",,,
0x42A5,0x42AA,5,ascii,"w9dA""",,,
0x42AB,0x42B5,10,ascii,"ww|9dA""sww",si,,
0x42B6,0x42BA,4,ascii,"3dA""",si,,
0x42BB,0x42C2,7,ascii,"ww83dA""",,,
0x42C6,0x42C9,3,ascii,3dA,si,,
0x42D7,0x42DF,8,ascii,dnffffff,,,
0x42EC,0x42F3,7,ascii,?ODdADR,,,
0x4325,0x432B,6,ascii,"w7dA""s",,,
0x432D,0x4332,5,ascii,"w9dA""",,,
0x4333,0x433D,10,ascii,"ww|9dA""sww",si,,
0x433E,0x4342,4,ascii,"3dA""",si,,
0x4343,0x4349,6,ascii,ww83dA,,,
0x434E,0x4354,6,ascii,9dAYUx,,,
0x4357,0x435F,8,ascii,dnffffff,,,
0x4390,0x43C0,48,ascii,Continue without Memory Card?,,,¿Continuar sin Memory Card?
0x43CC,0x43D1,5,ascii,&1Sg2,,,
0x43E2,0x43E6,4,ascii,"""34""",,,
0x43E9,0x43EE,5,ascii, SESE,,,
0x444D,0x4450,3,ascii,RUb,,,
0x4472,0x4476,4,ascii,SESE,,,
0x454A,0x454D,3,ascii,&1!,,,
0x4562,0x4565,3,ascii,"!""""",,,
0x4579,0x457E,5,ascii," ""'vg",,,
0x4581,0x4584,3,ascii, (),,,
0x4589,0x45A1,24,ascii,"""w'ww&P!bwvgw&R!bwvgwjR!",si,,
0x45A2,0x45AD,11,ascii,wwww&TAdz'r,si,,
0x45B3,0x45B8,5,ascii,wwjDP,,,
0x45C1,0x45C4,3,ascii,|fz,,,
0x45C5,0x45C8,3,ascii,fgP,,,
0x45CD,0x45D1,4,ascii,fzVq,,,
0x45D2,0x45E0,14,ascii,ffff}WPUUUUUUe,si,,
0x45EA,0x45ED,3,ascii," """"",,,
0x4601,0x4606,5,ascii," ""'vg",,,
0x4607,0x460C,5,ascii,P! (),,,
0x460F,0x4629,26,ascii,"R!""w'ww&R!bwvgw&R!bwvgwjR!",si,,
0x462A,0x4635,11,ascii,wwww&TAdz'r,si,,
0x463B,0x4640,5,ascii,wwjDP,,,
0x464D,0x4651,4,ascii,fwWq,,,
0x4655,0x4660,11,ascii,fzWPUUUUUUe,si,,
0x466D,0x4670,3,ascii,)%d,,,
0x4684,0x46AC,40,ascii,Which Memory Card do you\nwant to use?,,si,¿Qué Memory Card quieres usar?
0x46F0,0x4730,64,ascii,Insert new Memory Card(s) and\npress Confirm to continue.,,si,
0x46AC,0x46F0,68,ascii,Insufficient Memory Card space.\n3 blocks are required to save.,,si,"Espacio insuficiente, 3 bloques\nson requeridos para guardar."
0x4730,0x4770,64,ascii,You will not be able to save or\nautosave with this Memory Card.,,si,"No podrás guardar ni auto-guardar\ncon esta Memory Card."
0x4770,0x47A0,48,ascii, up to %d game(s). Continu,,si,
0x47A0,0x47E0,64,ascii,Memory Card %d has not been\nformatted.  Format now?,,si,Memory Card %d no formateada.\n¿Formatear ahora?
0x47E0,0x4810,48,ascii,Are you sure you want to\nformat Memory Card %d?,,si,¿Seguro que quieres\nformatear Memory Card %d?
0x4810,0x4834,36,ascii,Now formatting Memory Card %d....,,,Formateando Memory Card %d....
0x4834,0x4844,16,ascii,Format failed.,,,Error formato.
0x4844,0x4858,20,ascii,Format complete.,,,Formato completado.
0x4858,0x4874,28,ascii,Do you want to continue?,,si,¿Quieres continuar?
0x4874,0x4898,36,ascii,No Memory Card found.,,si,Memoria no encontrada.
0x491C,0x4924,8,ascii,Yes,,si,Si
0x4938,0x4948,16,ascii,Memory Card 1,,,
0x4948,0x4958,16,ascii,Memory Card 2,,,
